state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
AR,smoothed_cli,2020-04-07,2020-09-03,149,0.8177691,0.1158078,4729.1251,state,fb-survey
AZ,smoothed_cli,2020-04-07,2020-09-03,149,0.931544,0.0822496,10102.6538,state,fb-survey
CA,smoothed_cli,2020-04-07,2020-09-03,149,0.6722565,0.0734437,9616.9951,state,fb-survey
CO,smoothed_cli,2020-04-07,2020-09-03,149,1.3954298,0.1011348,10003.6219,state,fb-survey
CT,smoothed_cli,2020-04-07,2020-09-03,149,0.9595318,0.114616,5283,state,fb-survey
DC,smoothed_cli,2020-04-07,2020-09-03,149,0.3632479,0.1592781,936,state,fb-survey
DE,smoothed_cli,2020-04-07,2020-09-03,149,0.7191474,0.1841178,1607.0292,state,fb-survey
FL,smoothed_cli,2020-04-07,2020-09-03,149,0.7054508,0.0705346,10420.0016,state,fb-survey
GA,smoothed_cli,2020-04-07,2020-09-03,149,0.7694694,0.0759913,9198.9343,state,fb-survey
HI,smoothed_cli,2020-04-07,2020-09-03,149,0.642166,0.1638854,1780,state,fb-survey
IA,smoothed_cli,2020-04-07,2020-09-03,149,1.0130396,0.1173201,5322.7042,state,fb-survey
ID,smoothed_cli,2020-04-07,2020-09-03,149,1.2166002,0.1714867,2884.7752,state,fb-survey
IL,smoothed_cli,2020-04-07,2020-09-03,149,0.8634434,0.0773469,10473.0676,state,fb-survey
IN,smoothed_cli,2020-04-07,2020-09-03,149,1.063059,0.0825091,11432.0137,state,fb-survey
KS,smoothed_cli,2020-04-07,2020-09-03,149,0.8717549,0.1108592,4987.7496,state,fb-survey
KY,smoothed_cli,2020-04-07,2020-09-03,149,0.7259051,0.0766161,7934.0866,state,fb-survey
LA,smoothed_cli,2020-04-07,2020-09-03,149,0.9705685,0.1029115,6667.9948,state,fb-survey
MA,smoothed_cli,2020-04-07,2020-09-03,149,0.7151957,0.0730528,9769.0265,state,fb-survey
MD,smoothed_cli,2020-04-07,2020-09-03,149,0.6030701,0.0698578,8437.9649,state,fb-survey
ME,smoothed_cli,2020-04-07,2020-09-03,149,1.0344316,0.1781669,2411.2234,state,fb-survey
MI,smoothed_cli,2020-04-07,2020-09-03,149,0.9696031,0.0733395,13170.0094,state,fb-survey
MN,smoothed_cli,2020-04-07,2020-09-03,149,0.9289695,0.0928974,8302.2048,state,fb-survey
MO,smoothed_cli,2020-04-07,2020-09-03,149,0.7355028,0.071879,10082.3437,state,fb-survey
